Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Regorafenib,Treatment of metastatic Colorectal Cancer (mCRC),Treatment of $\text{GIST}$ (Gastrointestinal Stromal Tumor),"Fatigue, $\text{HFS}$ (Hand-Foot Skin Reaction), diarrhea, hypertension. Serious: Hepatotoxicity ($\text{Black Box Warning}$), hemorrhage, $\text{GI}$ perforation.",Multi-Kinase Inhibitor (Targeted Oncology),Extremely High Cost; Oncology use only,"160 $\text{mg}$ once daily for 21 days, followed by 7 days off (28-day cycle).","Sorafenib, Sunitinib.",Global Tablet
Remifentanil,Short-acting opioid for General Anesthesia and procedural sedation,-,"Respiratory depression, bradycardia, muscle rigidity, hypotension. Extremely rapid onset and offset (metabolized by blood/tissue esterases).",Opioid Analgesic ($\text{Mu}$-Receptor Agonist),Extremely High Cost; Hospital/IV use only,"IV infusion (Dosing highly individualized, based on $\text{mcg}/\text{kg}/\text{min}$).","Fentanyl, Sufentanil.",Global Injection
Repaglinide,Management of Type 2 Diabetes Mellitus,-,"Hypoglycemia (low blood sugar), headache, $\text{URI}$, joint pain. Taken immediately before meals to mimic physiological insulin release.",Meglitinide (Insulin Secretagogue),₹200 - ₹500 per 10 tabs (0.5mg/1mg/2mg),0.5 $\text{mg}$ to 4 $\text{mg}$ taken 15-30 minutes before each meal.,"Nateglinide (similar class), Gliclazide (Sulfonylurea).",Global Tablet
Reteplase,Management of acute Myocardial Infarction (MI),-,"Bleeding (major complication), headache, nausea, hypotension.",Plasminogen Activator (Thrombolytic),Extremely High Cost; Emergency IV use only,"Double IV bolus dose (10 $\text{MU}$ bolus, followed by 10 $\text{MU}$ 30 minutes later).","Alteplase, Tenecteplase.",Global Injection
Rifampicin (Rifampin),Treatment of active Tuberculosis (TB) (part of a multi-drug regimen),Prophylaxis against Meningococcal disease,"Red-orange discoloration of all body fluids (urine, sweat, tears), $\text{GI}$ upset. Serious: Hepatotoxicity, severe skin reactions. Potent enzyme inducer (many drug interactions).",Rifamycin Antibiotic,₹100 - ₹300 per 10 caps (150mg/300mg),10 $\text{mg}/\text{kg}$ daily (Max 600 $\text{mg}$/day).,"Rifabutin, Rifapentine.",Global Capsule/Tablet
Rifaximin,Treatment of Traveler's Diarrhea (due to non-invasive $\text{E}$. coli),Reduction of risk of Overt Hepatic Encephalopathy recurrence,"Flatulence, headache, abdominal pain, peripheral edema. Poorly absorbed (works primarily in the gut).",Rifamycin Antibiotic (Non-systemic),Very High Cost; Specialty drug,Traveler's Diarrhea: 200 $\text{mg}$ three times daily for 3 days. $\text{HE}$: 550 $\text{mg}$ twice daily.,Ciprofloxacin (for Traveler's Diarrhea).,Global Tablet
Riluzole,Treatment of Amyotrophic Lateral Sclerosis ($\text{ALS}$) (Slightly extends survival/delays ventilation),-,"Asthenia (weakness), nausea, dizziness, $\text{GI}$ upset. Serious: Hepatotoxicity (requires liver enzyme monitoring), neutropenia.",$\text{Glutamate}$ Inhibitor ($\text{ALS}$ treatment),Extremely High Cost; Specialty drug,50 $\text{mg}$ twice daily.,Edaravone (other $\text{ALS}$ treatment).,Global Tablet
Risedronate,Treatment and prevention of Osteoporosis (Postmenopausal/Glucocorticoid-induced),Treatment of Paget's Disease of Bone,"$\text{GI}$ upset, dyspepsia, abdominal pain. Serious: Esophageal irritation/ulceration (requires sitting upright after dose), $\text{ONJ}$, atypical femur fractures.",Bisphosphonate,₹200 - ₹600 per 10 tabs (5mg/35mg/150mg),35 $\text{mg}$ once weekly or 150 $\text{mg}$ once monthly.,"Alendronate, Zoledronic Acid.",Global Tablet
Risperidone,Treatment of acute and chronic Schizophrenia,"Treatment of acute Mania in Bipolar Disorder, Irritability associated with Autism","Insomnia, sedation, headache, $\text{EPS}$ (dose-dependent). Highest risk of hyperprolactinemia among atypical antipsychotics.",Atypical (Second-Generation) Antipsychotic,₹200 - ₹800 per 10 tabs (0.5mg/1mg/2mg/3mg/4mg),2 $\text{mg}$ to 6 $\text{mg}$ daily (divided or single dose). Long-acting injection available.,"Olanzapine, Quetiapine.",Global Tablet/Oral Solution/Injection (LAI)
Ritonavir,Boosting (Pharmacokinetic enhancement) of other Protease Inhibitors ($\text{PI}$),Treatment of $\text{HIV-1}$ Infection (rarely used as sole $\text{PI}$),"Nausea, vomiting, diarrhea, abdominal pain, paresthesia (mouth/feet). Serious: Hepatotoxicity, significant metabolic disturbances.",Protease Inhibitor ($\text{PI}$) (Potent $\text{CYP3A4}$ Inhibitor),Very High Cost; Specialty drug,Boosting dose: 100 $\text{mg}$ to 200 $\text{mg}$ once or twice daily.,Cobicistat (non-PI booster).,Global Capsule/Tablet/Oral Solution
Rituximab,Treatment of $\text{CD20}$-positive Non-Hodgkin's Lymphoma ($\text{NHL}$),"Treatment of $\text{RA}$, Chronic Lymphocytic Leukemia ($\text{CLL}$), $\text{Vasculitis}$","$\text{Infusion}$ reactions (fever, chills, rash, angioedema), headache. Serious: $\text{PML}$ ($\text{Black Box Warning}$), hepatitis $\text{B}$ reactivation.",Anti-$\text{CD20}$ Monoclonal Antibody,Extremely High Cost; Oncology IV Infusion,$\text{NHL}$: 375 $\text{mg}/\text{m}^2$ IV weekly (x4 cycles). $\text{RA}$: 1 $\text{g}$ IV $\times$ 2 doses (separated by 2 weeks) every 6-9 months.,Ocrelizumab (Anti-$\text{CD20}$ for $\text{MS}$).,Global Injection
Rivaroxaban,Prevention of stroke/systemic embolism in non-valvular Atrial Fibrillation ($\text{AF}$),"Prevention/Treatment of $\text{DVT}$/$\text{PE}$, Prophylaxis after hip/knee replacement","Bleeding (major complication), nausea, abdominal pain. Serious: Spinal/Epidural hematoma ($\text{Black Box Warning}$ with neuraxial procedures).",Direct Factor $\text{Xa}$ Inhibitor ($\text{DOAC}$),Very High Cost; Specialty drug,"$\text{AF}$: 20 $\text{mg}$ once daily. $\text{DVT}/\text{PE}$: Initial 15 $\text{mg}$ twice daily, then 20 $\text{mg}$ once daily.","Apixaban, Dabigatran.",Global Tablet
Rizatriptan,Acute treatment of Migraine attacks (with or without aura),-,"Dizziness, somnolence, fatigue, nausea, dry mouth. Rapid onset of action.",Selective $\text{5-HT}_{1\text{B}}/\text{1D}$ Receptor Agonist (Triptan),Very High Cost; Specialty drug,5 $\text{mg}$ to 10 $\text{mg}$ at onset (may repeat once after 2 hours).,"Sumatriptan, Naratriptan.",Global Tablet (Standard/ODT)
Ropinirole,Treatment of moderate to severe Restless Legs Syndrome ($\text{RLS}$),Treatment of symptoms of Parkinson's Disease,"Somnolence, dizziness, nausea, vomiting, sudden onset of sleep. Serious: Compulsive behaviors (gambling, hypersexuality), orthostatic hypotension.",Dopamine Agonist,₹200 - ₹500 per 10 tabs (0.25mg/1mg/2mg/XL),$\text{RLS}$: 0.25 $\text{mg}$ to 4 $\text{mg}$ once daily (at bedtime). $\text{PD}$: Slowly titrated up to 24 $\text{mg}$ daily.,"Pramipexole, Rotigotine.",Global Tablet (IR/ER)
Sodium Bicarbonate,Treatment of Metabolic Acidosis,Treatment of heartburn and $\text{GI}$ upset (Antacid),"Belching, flatulence, fluid retention, metabolic alkalosis (overdose).",Electrolyte/Antacid,Low Cost; OTC/Injection,Antacid: 325 $\text{mg}$ to 2 $\text{g}$ one to four times daily. $\text{IV}$: Based on severity of acidosis.,"Calcium Carbonate, Sodium Citrate.",Global Tablet/Injection/Powder
Sodium valproate (Valproic Acid),Treatment of generalized and partial Seizures (Epilepsy),"Treatment of acute Mania in Bipolar Disorder, Prophylaxis of Migraine","Nausea, vomiting, tremor, weight gain, hair loss. Serious: Hepatotoxicity ($\text{Black Box Warning}$, especially children < 2 yrs), Pancreatitis, neural tube defects (Teratogenic).",Anticonvulsant (GABA-ergic),₹100 - ₹300 per 10 tabs (200mg/500mg ER),Highly individualized; 15 $\text{mg}/\text{kg}/\text{day}$ to 60 $\text{mg}/\text{kg}/\text{day}$ (divided doses or $\text{ER}$).,"Carbamazepine, Lamotrigine.",Global Tablet (ER/DR)/Syrup/Injection
Solifenacin,"Treatment of Overactive Bladder ($\text{OAB}$) (Urinary frequency, urgency, incontinence)",-,"Dry mouth, constipation, blurred vision, dizziness. Serious: Urinary retention, $\text{CNS}$ effects (in elderly).",Antimuscarinic (Anticholinergic),Very High Cost; Specialty drug,5 $\text{mg}$ to 10 $\text{mg}$ once daily.,"Oxybutynin, Tolterodine.",Global Tablet
Somatropin,Treatment of Growth Hormone Deficiency (GHD) in children and adults,"Treatment of short stature due to various causes (e.g., Turner Syndrome, $\text{CKD}$)","Injection site reactions, headache, hyperglycemia. Serious: Increased risk of $\text{Slipped Capital Femoral Epiphysis}$ in children, $\text{Intracranial Hypertension}$.",Recombinant Human Growth Hormone ($\text{rhGH}$),Extremely High Cost; Specialty Injection,"SC injection (Dosing complex, based on weight/surface area/indication).",Mecasermin (IGF-1 analog).,Global Injection
Sorbitol,Treatment of occasional Constipation,Vehicle/sweetener in liquid medications,"Diarrhea, abdominal cramps, flatulence (excessive consumption).",Osmotic Laxative,Low Cost; OTC/Ingredient,30 $\text{mL}$ to 150 $\text{mL}$ of 70% solution (as needed).,"Lactulose, Polyethylene Glycol ($\text{PEG}$).",Global Solution
Sotalol,Treatment of refractory Ventricular Arrhythmias,Maintenance of sinus rhythm in $\text{Atrial Fibrillation/Flutter}$,"Bradycardia, fatigue, dizziness, hypotension. Serious: Torsades de Pointes ($\text{QT}$ prolongation) - $\text{Black Box Warning}$ (must be initiated in hospital).",Beta-Blocker ($\text{Class II}$) + Potassium Channel Blocker ($\text{Class III}$),₹200 - ₹500 per 10 tabs (80mg/160mg),Initial: 80 $\text{mg}$ twice daily. Maintenance: 160 $\text{mg}$ to 320 $\text{mg}$ daily.,"Amiodarone (Class $\text{III}$), Propranolol (Beta-Blocker).",Global Tablet
Spironolactone,Treatment of Hypertension and Congestive Heart Failure,"Treatment of $\text{Edema}$, Hyperaldosteronism, $\text{Hirsutism}$ (Off-label)","Hyperkalemia, gynecomastia (men), breast tenderness (women), $\text{GI}$ upset. Serious: Acute renal failure, $\text{SJS}$.",Potassium-Sparing Diuretic/Aldosterone Antagonist,₹50 - ₹150 per 10 tabs (25mg/50mg/100mg),25 $\text{mg}$ to 100 $\text{mg}$ once daily (Max 400 $\text{mg}$).,"Eplerenone (more selective), Amiloride.",Global Tablet
Stavudine (d4T),Treatment of HIV-1 Infection (less used due to toxicity),-,"Peripheral neuropathy, lipodystrophy (fat wasting). Serious: Lactic Acidosis/Severe Hepatomegaly with Steatosis ($\text{Black Box Warning}$).",Nucleoside Reverse Transcriptase Inhibitor ($\text{NRTI}$),Low Cost; Specialty drug,30 $\text{mg}$ to 40 $\text{mg}$ twice daily.,"Zidovudine ($\text{AZT}$), Lamivudine (other $\text{NRTIs}$).",Global Capsule/Oral Solution
Sucralfate,Treatment of active Duodenal Ulcer,"Short-term maintenance of Duodenal Ulcer healing, $\text{GERD}$/Esophagitis","Constipation, dry mouth. Requires acidic environment for activation (separate from $\text{PPI}$/antacids).",Mucosal Protective Agent,₹100 - ₹300 per 10 tabs (1g),1 $\text{g}$ four times daily (on an empty stomach).,"Misoprostol, Antacids.",Global Tablet/Oral Suspension
Sulfasalazine,Treatment of Ulcerative Colitis (UC) and Crohn's Disease,Treatment of Rheumatoid Arthritis (RA),"Nausea, vomiting, headache, $\text{GI}$ upset, yellow-orange skin/urine discoloration. Serious: Myelosuppression, hepatotoxicity, kidney stone formation.",Aminosalicylate ($\text{5-ASA}$ Prodrug),₹100 - ₹300 per 10 tabs (500mg),$\text{UC}/\text{CD}$: 1 $\text{g}$ to 2 $\text{g}$ two to three times daily. $\text{RA}$: 500 $\text{mg}$ to 1000 $\text{mg}$ twice daily.,Mesalazine (active metabolite).,Global Tablet
Sulfadiazine,Treatment of various susceptible Bacterial Infections,"Prophylaxis of Rheumatic Fever, Toxoplasmosis (in combination)","Nausea, vomiting, rash. Serious: $\text{SJS}/\text{TEN}$, Hemolytic anemia, Crystalluria (kidney stone risk).",Sulfonamide Antibiotic,Low Cost; Prescription,Varies by indication (often 1 $\text{g}$ to 2 $\text{g}$ daily in divided doses).,Trimethoprim/Sulfamethoxazole ($\text{TMP}/\text{SMX}$).,Global Tablet
Sulfamethoxazole/Trimethoprim ($\text{Co-trimoxazole}$),"Treatment of various susceptible Bacterial Infections (e.g., $\text{UTI}$, $\text{PCP}$)",-,"Nausea, vomiting, rash, increased serum potassium. Serious: SJS/TEN ($\text{Black Box Warning}$), Myelosuppression, renal failure.",Folate Antagonist Antibiotic Combination,₹50 - ₹150 per 10 tabs (400/80mg or 800/160mg),$\text{UTI}$: 1 DS tab twice daily. $\text{PCP}$: High doses based on $\text{kg}$.,"Ciprofloxacin, Nitrofurantoin.",Global Tablet/Oral Suspension/Injection
Sumatriptan,Acute treatment of Migraine attacks (with or without aura),Acute treatment of Cluster Headache (Injection/Nasal),"Chest tightness/pressure (non-cardiac), dizziness, tingling, flushing.",Selective $\text{5-HT}_{1\text{B}}/\text{1D}$ Receptor Agonist (Triptan),₹200 - ₹600 per 2 tabs (25mg/50mg/100mg),Oral: 25 $\text{mg}$ to 100 $\text{mg}$ at onset (may repeat after 2 hours). $\text{SC}$: 6 $\text{mg}$ dose.,"Rizatriptan, Naratriptan.",Global Tablet/Injection/Nasal Spray
Sunitinib,Treatment of advanced Renal Cell Carcinoma (RCC),"Treatment of $\text{GIST}$ (Gastrointestinal Stromal Tumor), Pancreatic $\text{NETs}$","Fatigue, diarrhea, nausea, $\text{HFS}$ (Hand-Foot Skin Reaction), hypertension, skin discoloration (yellow). Serious: Hepatotoxicity, $\text{QT}$ prolongation, thyroid dysfunction.",Multi-Kinase Inhibitor ($\text{TKI}$) (Targeted Oncology),Extremely High Cost; Oncology use only,"50 $\text{mg}$ once daily for 4 weeks, followed by 2 weeks off (6-week cycle).","Pazopanib, Sorafenib.",Global Capsule
Tacrolimus,"Prevention of rejection in solid organ Transplantation (Kidney, Liver, Heart)",Treatment of severe Atopic Dermatitis/Eczema (Topical),"Nephrotoxicity (dose-limiting), tremor, headache, hypertension, hyperglycemia. Serious: Increased risk of infection/malignancy. Requires $\text{TDM}$.",Calcineurin Inhibitor (Immunosuppressant),Extremely High Cost; Specialty drug,Oral: Highly individualized (based on $\text{TDM}$). Topical: Apply two to three times daily.,Cyclosporine (other Calcineurin inhibitor).,Global Capsule (IR/ER)/Injection/Ointment
Tadalafil,Treatment of Erectile Dysfunction (ED),"Treatment of Pulmonary Arterial Hypertension ($\text{PAH}$), Benign Prostatic Hyperplasia ($\text{BPH}$)","Headache, flushing, dyspepsia, back pain/myalgia. Serious: Sudden hearing/vision loss, Priapism, severe hypotension (contraindicated with Nitrates). Longest duration of action.",$\text{PDE}-5$ Inhibitor,ED: ₹400 - ₹1000 per tab (5mg/10mg/20mg). $\text{PAH}$: High Cost.,"ED: 10 $\text{mg}$ to 20 $\text{mg}$ as needed, or 2.5 $\text{mg}$ to 5 $\text{mg}$ daily. $\text{PAH}$: 40 $\text{mg}$ once daily.","Sildenafil, Vardenafil.",Global Tablet
Tamoxifen,Adjuvant and metastatic Breast Cancer ($\text{ER}$+ positive),Prevention of Breast Cancer in high-risk women,"Hot flashes, vaginal discharge/bleeding, nausea. Serious: Endometrial cancer, Uterine sarcoma, Thromboembolism ($\text{DVT}/\text{PE}$) - Black Box Warning.",Selective Estrogen Receptor Modulator ($\text{SERM}$),₹200 - ₹500 per 10 tabs (10mg/20mg),20 $\text{mg}$ once daily for 5-10 years.,"Toremifene, Fulvestrant.",Global Tablet
Tamsulosin,Symptomatic treatment of Benign Prostatic Hyperplasia ($\text{BPH}$),-,"Dizziness, headache, abnormal ejaculation (reduced/absent), orthostatic hypotension. Serious: Intraoperative Floppy Iris Syndrome ($\text{IFIS}$) during cataract surgery.",Alpha-1 Adrenergic Blocker,₹200 - ₹500 per 10 caps (0.4mg),0.4 $\text{mg}$ once daily (30 minutes after the same meal each day).,"Alfuzosin, Silodosin, Doxazosin.",Global Capsule (ER)
Tapentadol,Management of moderate to severe acute and chronic Pain,-,"Nausea, vomiting, dizziness, somnolence, constipation. Serious: Respiratory Depression, Serotonin Syndrome, seizure risk, dependence/abuse.",$\text{Mu}$-Opioid Receptor Agonist and $\text{Norepinephrine}$ Reuptake Inhibitor,Very High Cost; Controlled substance,IR: 50 $\text{mg}$ to 100 $\text{mg}$ every 4-6 hours. $\text{ER}$: 50 $\text{mg}$ to 250 $\text{mg}$ twice daily.,"Tramadol (similar mixed mechanism), Oxycodone.",Global Tablet (IR/ER)
Tenofovir (TDF/TAF),Treatment of chronic Hepatitis B Virus ($\text{HBV}$) infection,Treatment of HIV-1 Infection (part of combination therapy),"TDF: Renal impairment (Fanconi syndrome), decreased bone mineral density. TAF: Less bone/renal toxicity, increased lipids.",Nucleoside/tide Reverse Transcriptase Inhibitor ($\text{NRTI}$),Very High Cost; Specialty drug,$\text{HBV/HIV}$: 300 $\text{mg}$ (TDF) or 25 $\text{mg}$ (TAF) once daily.,"Entecavir ($\text{HBV}$), Lamivudine, Emtricitabine ($\text{HIV}$).",Global Tablet
Terazosin,Treatment of Hypertension,Symptomatic treatment of Benign Prostatic Hyperplasia ($\text{BPH}$),"Dizziness, headache, lethargy, orthostatic hypotension ($\text{First-Dose}$ Phenomenon).",Selective Alpha-1 Adrenergic Blocker,₹100 - ₹300 per 10 tabs (1mg/2mg/5mg/10mg),Initial: 1 $\text{mg}$ at bedtime. Maintenance: 1 $\text{mg}$ to 20 $\text{mg}$ once daily.,"Prazosin, Doxazosin, Tamsulosin.",Global Capsule/Tablet
Terbinafine,Treatment of Onychomycosis (Fungal infection of nails),"Treatment of Tinea infections (Athlete's foot, ringworm)","Headache, $\text{GI}$ upset, rash, taste disturbance (can be prolonged). Serious: Hepatotoxicity (requires liver function monitoring).",Allylamine Antifungal Agent,₹300 - ₹800 per 10 tabs (250mg),"Onychomycosis: 250 $\text{mg}$ once daily (6 weeks for fingernails, 12 weeks for toenails).","Itraconazole, Fluconazole.",Global Tablet/Topical Cream
Terbutaline,"Management of acute Bronchospasm ($\text{Asthma}$, $\text{COPD}$)",Tocolysis (relaxation of uterus) for premature labor (IV/SC - often discouraged),"Tachycardia, tremor, nervousness, headache, hypokalemia.",Short-Acting Beta-2 Agonist ($\text{SABA}$),Low Cost; Tablet/Injection/Inhaler,SC Injection: 0.25 $\text{mg}$ repeated once. Oral: 2.5 $\text{mg}$ to 5 $\text{mg}$ three times daily.,Salbutamol (Albuterol).,Global Tablet/Injection
Teriparatide,Treatment of severe Osteoporosis (increases bone density and strength),-,"Nausea, headache, dizziness, injection site pain/reaction. Serious: Osteosarcoma ($\text{Black Box Warning}$ - seen in rats), hypercalcemia. Use limited to 2 years lifetime.",Recombinant Human Parathyroid Hormone (PTH Analog),Extremely High Cost; Specialty SC Injection,20 $\mu\text{g}$ SC once daily.,Abaloparatide (related $\text{PTH}$ analog).,Global Injection Pen
Testosterone,Treatment of primary or secondary Hypogonadism (low testosterone) in men,-,"Acne, oily skin, gynecomastia, fluid retention, polycythemia (high $\text{RBC}$ count). Serious: Increased cardiovascular risk (observed in some studies), prostate cancer progression.",Androgen,Varies widely (Gel: Very High Cost; Injection: Moderate),"Varies by formulation ($\text{IM}$ injection every 2-4 weeks, $\text{Gel}$ daily, $\text{Patch}$ daily).",-,Global Gel/Patch/Injection/Capsule
Tetracycline,"Treatment of various susceptible Bacterial Infections (e.g., Acne, Respiratory, $\text{GU}$)",Treatment of $\text{H}$. pylori infection (in combination),"Nausea, vomiting, diarrhea, photosensitivity. Serious: Permanent tooth discoloration (children < 8), pseudotumor cerebri.",Tetracycline Antibiotic,₹100 - ₹300 per 10 caps (250mg/500mg),"250 $\text{mg}$ to 500 $\text{mg}$ four times daily (take on empty stomach, avoid dairy/antacids).","Doxycycline, Minocycline.",Global Capsule/Tablet
Thalidomide,Treatment of newly diagnosed Multiple Myeloma (in combination),Treatment of Erythema Nodosum Leprosum ($\text{ENL}$),"Somnolence, dizziness, constipation, peripheral neuropathy. Serious: Severe Teratogenicity (Phocomelia) - $\text{Black Box Warning}$ (strict $\text{REMS}$ program required), $\text{VTE}$ (venous thromboembolism).",Immunomodulatory Drug ($\text{IMiD}$),Extremely High Cost; Specialty drug,100 $\text{mg}$ to 400 $\text{mg}$ daily (dosing varies by indication).,"Lenalidomide, Pomalidomide (related $\text{IMiDs}$).",Global Capsule
Theophylline,Maintenance treatment of Asthma and COPD,-,"Nausea, vomiting, headache, restlessness, insomnia, tremor. Serious: Toxicity (seizures, cardiac arrhythmias), especially with narrow therapeutic index (requires monitoring).",Methylxanthine (Bronchodilator),₹100 - ₹300 per 10 tabs (100mg/200mg/300mg ER),Highly individualized (dosing based on $\text{mg}/\text{kg}$ and serum levels). $\text{ER}$: Once or twice daily.,Aminophylline (IV form).,Global Tablet (ER)/Capsule/Injection
Thioguanine ($\text{6-TG}$),Treatment of acute Myeloid Leukemia ($\text{AML}$),Treatment of Acute Lymphoblastic Leukemia ($\text{ALL}$),"Myelosuppression, nausea, vomiting, hepatotoxicity. Serious: Veno-occlusive disease of the liver (VOD) (especially high-dose), bone marrow suppression.",Purine Antimetabolite (Chemotherapy),Very High Cost; Oncology use only,2 $\text{mg}/\text{kg}$ daily or 80 $\text{mg}$ to 100 $\text{mg}/\text{m}^2$ daily.,"Mercaptopurine ($\text{6-MP}$), Fludarabine.",Global Tablet
Thioridazine,Treatment of chronic Schizophrenia,-,"Sedation, dry mouth, blurred vision, orthostatic hypotension. Serious: QT prolongation/Torsades de Pointes ($\text{Black Box Warning}$) - should be reserved for treatment failures, Retinal Pigment Change.",Phenothiazine (Typical Antipsychotic),High Cost; Limited Use,100 $\text{mg}$ to 600 $\text{mg}$ daily (in divided doses).,"Chlorpromazine, Perphenazine.",Global Tablet
Thiothixene,Treatment of acute and chronic Schizophrenia,-,"$\text{EPS}$ (dystonia, akathisia), sedation, orthostatic hypotension. Serious: $\text{QT}$ prolongation, $\text{NMS}$, $\text{TD}$.",Thioxanthene (Typical Antipsychotic),₹100 - ₹300 per 10 caps (1mg/2mg/5mg/10mg),2 $\text{mg}$ to 5 $\text{mg}$ two to three times daily. Maintenance: up to 60 $\text{mg}$ daily.,Flupentixol (similar class).,Global Capsule/Injection
Thyroxine ($\text{L}$-Thyroxine),Treatment of Hypothyroidism (underactive thyroid),Thyroid Stimulating Hormone ($\text{TSH}$) suppression in thyroid cancer,"Signs of hyperthyroidism: Palpitations, weight loss, heat intolerance, tremor, insomnia.",Synthetic Thyroid Hormone ($\text{T}_4$),Low Cost; Prescription,Highly individualized; Initial: 1.6 $\mu\text{g}/\text{kg}/\text{day}$. Maintenance: 75 $\mu\text{g}$ to 150 $\mu\text{g}$ once daily (on an empty stomach).,"Liothyronine ($\text{T}_3$), Desiccated Thyroid Extract.",Global Tablet
Tiagabine,Adjunctive treatment of Partial-Onset Seizures (Epilepsy),Generalized Anxiety Disorder ($\text{GAD}$) (Off-label),"Dizziness, somnolence, asthenia, tremor, abdominal pain. Serious: Seizures in patients without epilepsy (Off-label use), status epilepticus.",$\text{GABA}$ Reuptake Inhibitor,Very High Cost; Specialty drug,Initial: 4 $\text{mg}$ once daily. Maintenance: 32 $\text{mg}$ to 56 $\text{mg}$ daily (in 2-4 doses).,"Vigabatrin ($\text{GABA}$-T inhibitor), Gabapentin.",Global Tablet
Tianeptine,Treatment of Major Depressive Disorder (MDD) (primarily used outside $\text{US}$),-,"Nausea, constipation, dry mouth, headache, dizziness. Serious: Potential for misuse/abuse (opioid receptor interaction).",Selective Serotonin Reuptake Enhancer ($\text{SSRE}$) / $\text{Mu}$-Opioid Receptor Agonist,Varies; Not available in $\text{US}$,12.5 $\text{mg}$ three times daily.,Fluoxetine (SSRI - opposite action).,Global Tablet
Ticagrelor,"Prevention of thrombotic events (e.g., $\text{MI}$, stroke, $\text{CV}$ death) in Acute Coronary Syndrome ($\text{ACS}$)",Prevention of recurrent events in stable coronary artery disease,"Dyspnea (shortness of breath), headache, nausea, bleeding. Serious: Significant bleeding risk ($\text{Black Box Warning}$).",$\text{P2Y}_{12}$ Platelet Inhibitor (Reversible),Very High Cost; Specialty drug,"$\text{ACS}$: 180 $\text{mg}$ loading dose, then 90 $\text{mg}$ twice daily for 1 year. Maintenance: 60 $\text{mg}$ twice daily.","Clopidogrel, Prasugrel.",Global Tablet
Ticlopidine,Prevention of thrombotic stroke in patients intolerant to Aspirin,Prevention of subacute stent thrombosis (in combination with Aspirin),"Diarrhea, rash. Serious: Severe Neutropenia, $\text{TTP}$ (Thrombotic Thrombocytopenic Purpura) - $\text{Black Box Warning}$. (Rarely used now).",$\text{P2Y}_{12}$ Platelet Inhibitor (Irreversible),High Cost; Limited Use,250 $\text{mg}$ twice daily (with food).,"Clopidogrel, Ticagrelor.",Global Tablet
Tigecycline,Treatment of complicated skin and soft tissue infections ($\text{cSSTI}$),"Treatment of complicated intra-abdominal infections ($\text{cIAI}$), Community-acquired pneumonia ($\text{CAP}$)","Nausea, vomiting, diarrhea. Serious: Increased mortality ($\text{Black Box Warning}$) - Reserve for limited options, pancreatitis, $\text{C}$. difficile infection.",Glycylcycline Antibiotic,Extremely High Cost; Hospital/IV use only,"100 $\text{mg}$ IV load, then 50 $\text{mg}$ IV every 12 hours.",Minocycline (related Tetracycline).,Global Injection
Timolol,Treatment of chronic open-angle Glaucoma (Eye drops),Treatment of Hypertension (Oral - less common),"Eye drops: Local irritation, ocular burning/stinging. Oral: Bradycardia, fatigue. Serious: Bronchospasm (systemic absorption from drops).",Non-selective Beta-Adrenergic Receptor Blocker,Low Cost; Eye Drops/Tablet,Eye drops: 1 drop twice daily. Oral: 10 $\text{mg}$ to 20 $\text{mg}$ twice daily.,Betaxolol (Selective $\text{Beta}_1$ Eye Drops).,Global Eye Drops/Tablet
Tinidazole,"Treatment of susceptible Protozoal Infections (e.g., Giardiasis, Trichomoniasis)",Treatment of susceptible anaerobic Bacterial Infections,"Metallic taste, nausea, vomiting, $\text{GI}$ upset. Serious: Disulfiram-like reaction with alcohol.",Nitroimidazole Antiprotozoal/Antibiotic,₹300 - ₹600 per 4 tabs (500mg/1g),Single 2 $\text{g}$ dose (Trichomoniasis). 500 $\text{mg}$ twice daily for 5 days (Giardiasis).,Metronidazole.,Global Tablet
Tinzaparin,Treatment of acute deep vein Thrombosis ($\text{DVT}$) or pulmonary Embolism ($\text{PE}$),Prevention of $\text{VTE}$ (Venous Thromboembolism),"Bleeding, injection site reactions, bruising. Serious: $\text{HIT}$ (Heparin-Induced Thrombocytopenia), spinal/epidural hematoma ($\text{Black Box Warning}$).",Low Molecular Weight Heparin ($\text{LMWH}$),High Cost; Specialty SC Injection,$\text{DVT/PE}$: 175 $\text{anti-Xa}$ $\text{IU}/\text{kg}$ SC once daily. Prophylaxis: Varies.,"Enoxaparin, Dalteparin.",Global Injection
Tiotropium,Maintenance treatment of COPD (Bronchodilator),Add-on maintenance treatment of Asthma,"Dry mouth, $\text{URI}$ symptoms. Serious: Acute narrow-angle glaucoma, urinary retention.",Long-Acting Muscarinic Antagonist ($\text{LAMA}$),Very High Cost; Inhaler,Inhalation: 1 puff (18 $\mu\text{g}$) once daily.,"Umeclidinium, Aclidinium.",Global Inhaler (Dry Powder/Soft Mist)
Tipranavir,"Treatment of $\text{HIV-1}$ Infection (in combination therapy, especially for resistant strains)",-,"Diarrhea, nausea, vomiting, headache. Serious: Hepatotoxicity ($\text{Black Box Warning}$) - including fatal hepatic failure, $\text{ICH}$ (Intracranial Hemorrhage), metabolic disturbances.",Non-Peptide Protease Inhibitor ($\text{PI}$),Extremely High Cost; Specialty drug,500 $\text{mg}$ twice daily (always boosted with 200 $\text{mg}$ Ritonavir).,Darunavir.,Global Capsule/Oral Solution
